,Feature 1,Feature 2,Lasso Coefficient
128,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,RELEASE_TYPE_RUPTURE,0.042293342
50,COMMODITY_RELEASED_TYPE_CRUDE OIL,CAUSE_MATERIAL FAILURE OF PIPE OR WELD,0.039182087
85,CAUSE_EQUIPMENT FAILURE,INCIDENT_AREA_TYPE_UNDERGROUND,-0.039003156
68,COMMODITY_RELEASED_TYPE_REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,IGNITE_IND_YES,0.038339471
192,SCADA_IN_PLACE_IND_YES,LONG_TERM_ASSESSMENT_YES,0.037874971
177,COMMODITY_REACHED_HCA_YES,PRESSURE_RESTRICTION_IND_YES,-0.035513574
61,COMMODITY_RELEASED_TYPE_HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,INCIDENT_AREA_TYPE_UNDERGROUND,0.035150403
1,UNINTENTIONAL_RELEASE_BBLS,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,0.034388918
156,RELEASE_TYPE_OTHER,FEDERAL_YES,0.034090213
76,PIPE_FACILITY_TYPE_INTRASTATE,SYSTEM_PART_INVOLVED_ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,0.034071008
14,NUM_PUB_EVACUATED,CAUSE_EQUIPMENT FAILURE,0.033732901
138,SYSTEM_PART_INVOLVED_ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,RELEASE_TYPE_OTHER,-0.033034953
129,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,LOCATION_TYPE_PIPELINE RIGHT-OF-WAY,-0.032235086
80,CAUSE_EQUIPMENT FAILURE,IGNITE_IND_YES,0.032122134
158,RELEASE_TYPE_OTHER,PRESSURE_RESTRICTION_IND_YES,-0.032074972
6,RECOVERED_BBLS,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,0.031381018
106,CAUSE_NATURAL FORCE DAMAGE,INCIDENT_AREA_TYPE_UNDERGROUND,0.031085634
123,"SYSTEM_PART_INVOLVED_ONSHORE PIPELINE, INCLUDING VALVE SITES",INCIDENT_AREA_TYPE_UNDERGROUND,0.030412208
43,COMMODITY_RELEASED_TYPE_CO2 (CARBON DIOXIDE),CAUSE_INCORRECT OPERATION,-0.029762338
17,NUM_PUB_EVACUATED,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",0.02966726
60,COMMODITY_RELEASED_TYPE_HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,FEDERAL_YES,-0.028772106
149,COULD_BE_HCA_YES,CPM_IN_PLACE_IND_YES,-0.028660139
118,CAUSE_OTHER OUTSIDE FORCE DAMAGE,IGNITE_IND_YES,0.028503482
24,ACCIDENT_PSIG,"SYSTEM_PART_INVOLVED_ONSHORE PIPELINE, INCLUDING VALVE SITES",0.028486689
103,CAUSE_NATURAL FORCE DAMAGE,RELEASE_TYPE_OVERFILL OR OVERFLOW,-0.028413968
181,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",MATERIAL_INVOLVED_MATERIAL OTHER THAN CARBON STEEL,-0.028114737
167,RELEASE_TYPE_OVERFILL OR OVERFLOW,REMEDIATION_IND_YES,-0.027885592
44,COMMODITY_RELEASED_TYPE_CO2 (CARBON DIOXIDE),CAUSE_OTHER OUTSIDE FORCE DAMAGE,0.027786206
54,COMMODITY_RELEASED_TYPE_CRUDE OIL,COMMODITY_REACHED_HCA_YES,-0.027733446
67,COMMODITY_RELEASED_TYPE_REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,WATER_CONTAM_IND_YES,0.027691776
59,COMMODITY_RELEASED_TYPE_HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,IGNITE_IND_YES,-0.027593307
186,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",LONG_TERM_ASSESSMENT_YES,-0.027409961
165,RELEASE_TYPE_OVERFILL OR OVERFLOW,MATERIAL_INVOLVED_MATERIAL OTHER THAN CARBON STEEL,-0.027227461
96,CAUSE_MATERIAL FAILURE OF PIPE OR WELD,SYSTEM_PART_INVOLVED_ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,0.025628493
189,INCIDENT_AREA_TYPE_UNDERGROUND,SOIL_CONTAMINATION_YES,0.025105081
113,CAUSE_OTHER ACCIDENT CAUSE,RELEASE_TYPE_MECHANICAL PUNCTURE,-0.024225746
97,CAUSE_MATERIAL FAILURE OF PIPE OR WELD,INCIDENT_AREA_TYPE_TRANSITION AREA,-0.023508556
114,CAUSE_OTHER ACCIDENT CAUSE,LOCATION_TYPE_TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,-0.023463259
33,MOP_PSIG,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,-0.023450948
25,ACCIDENT_PSIG,COMMODITY_REACHED_HCA_YES,0.022986906
20,ACCIDENT_PSIG,COMMODITY_RELEASED_TYPE_CRUDE OIL,0.022663136
193,WILDLIFE_IMPACT_IND_YES,REMEDIATION_IND_YES,0.022215015
121,SYSTEM_PART_INVOLVED_ONSHORE EQUIPMENT AND PIPING ASSOCIATED WITH BELOWGROUND STORAGE,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",0.021785092
53,COMMODITY_RELEASED_TYPE_CRUDE OIL,"SYSTEM_PART_INVOLVED_ONSHORE PIPELINE, INCLUDING VALVE SITES",0.02170858
150,WATER_CONTAM_IND_YES,RELEASE_TYPE_OTHER,0.021296435
185,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",WILDLIFE_IMPACT_IND_YES,-0.021070539
88,CAUSE_EXCAVATION DAMAGE,CROSSING_YES,0.020621682
74,INJURY_IND_YES,CAUSE_INCORRECT OPERATION,-0.020532268
41,PSIG,SYSTEM_PART_INVOLVED_ONSHORE EQUIPMENT AND PIPING ASSOCIATED WITH BELOWGROUND STORAGE,-0.020336577
162,RELEASE_TYPE_OVERFILL OR OVERFLOW,LOCATION_TYPE_PIPELINE RIGHT-OF-WAY,-0.020026261
46,COMMODITY_RELEASED_TYPE_CO2 (CARBON DIOXIDE),LOCATION_TYPE_PIPELINE RIGHT-OF-WAY,0.019952373
0,UNINTENTIONAL_RELEASE_BBLS,COMMODITY_RELEASED_TYPE_CO2 (CARBON DIOXIDE),-0.019548087
153,RELEASE_TYPE_MECHANICAL PUNCTURE,COMMODITY_REACHED_HCA_YES,-0.019474146
168,RELEASE_TYPE_RUPTURE,COMMODITY_REACHED_HCA_YES,0.018578074
109,CAUSE_NATURAL FORCE DAMAGE,CROSSING_YES,0.018280992
119,CAUSE_OTHER OUTSIDE FORCE DAMAGE,CPM_IN_PLACE_IND_YES,0.018255909
37,MOP_PSIG,REMEDIATION_IND_YES,-0.018075046
145,SYSTEM_PART_INVOLVED_ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,LONG_TERM_ASSESSMENT_YES,0.017993321
102,CAUSE_NATURAL FORCE DAMAGE,COULD_BE_HCA_YES,-0.017078653
180,LOCATION_TYPE_TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,CROSSING_YES,-0.016384601
52,COMMODITY_RELEASED_TYPE_CRUDE OIL,SYSTEM_PART_INVOLVED_ONSHORE EQUIPMENT AND PIPING ASSOCIATED WITH BELOWGROUND STORAGE,-0.016297342
56,COMMODITY_RELEASED_TYPE_CRUDE OIL,MATERIAL_INVOLVED_MATERIAL OTHER THAN CARBON STEEL,-0.015890849
110,CAUSE_OTHER ACCIDENT CAUSE,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,-0.015851967
112,CAUSE_OTHER ACCIDENT CAUSE,WATER_CONTAM_IND_YES,0.01562235
71,COMMODITY_RELEASED_TYPE_REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,CPM_IN_PLACE_IND_YES,-0.015564211
5,RECOVERED_BBLS,CAUSE_INCORRECT OPERATION,0.015509862
93,CAUSE_INCORRECT OPERATION,PRESSURE_RESTRICTION_IND_YES,-0.015504541
136,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,EXPLODE_IND_YES,0.015300996
9,PRPTY,COMMODITY_RELEASED_TYPE_REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.015210176
23,ACCIDENT_PSIG,CAUSE_MATERIAL FAILURE OF PIPE OR WELD,-0.015065552
174,IGNITE_IND_YES,SOIL_CONTAMINATION_YES,0.01482828
45,COMMODITY_RELEASED_TYPE_CO2 (CARBON DIOXIDE),SYSTEM_PART_INVOLVED_ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,-0.014754093
79,CAUSE_EQUIPMENT FAILURE,RELEASE_TYPE_MECHANICAL PUNCTURE,0.014523232
142,SYSTEM_PART_INVOLVED_ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",0.01318111
140,SYSTEM_PART_INVOLVED_ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,COMMODITY_REACHED_HCA_YES,-0.012746981
164,RELEASE_TYPE_OVERFILL OR OVERFLOW,INCIDENT_AREA_TYPE_UNDERGROUND,0.012278787
170,RELEASE_TYPE_RUPTURE,SCADA_IN_PLACE_IND_YES,0.011546962
73,INJURY_IND_YES,CAUSE_EQUIPMENT FAILURE,0.011523311
159,RELEASE_TYPE_OTHER,SCADA_IN_PLACE_IND_YES,0.011474347
99,CAUSE_NATURAL FORCE DAMAGE,SYSTEM_PART_INVOLVED_ONSHORE EQUIPMENT AND PIPING ASSOCIATED WITH BELOWGROUND STORAGE,-0.011008854
7,RECOVERED_BBLS,INCIDENT_AREA_TYPE_UNDERGROUND,0.010644741
161,RELEASE_TYPE_OTHER,LONG_TERM_ASSESSMENT_YES,0.010320364
42,PSIG,REMEDIATION_IND_YES,-0.009944574
111,CAUSE_OTHER ACCIDENT CAUSE,COULD_BE_HCA_YES,-0.009601934
89,CAUSE_INCORRECT OPERATION,"SYSTEM_PART_INVOLVED_ONSHORE PIPELINE, INCLUDING VALVE SITES",-0.009467053
133,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,SCADA_IN_PLACE_IND_YES,0.009388884
154,RELEASE_TYPE_MECHANICAL PUNCTURE,LOCATION_TYPE_TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.009353455
135,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,LONG_TERM_ASSESSMENT_YES,0.008981496
28,ACCIDENT_PSIG,MATERIAL_INVOLVED_MATERIAL OTHER THAN CARBON STEEL,0.008908604
3,UNINTENTIONAL_RELEASE_BBLS,COMMODITY_REACHED_HCA_YES,0.008765714
78,PIPE_FACILITY_TYPE_INTRASTATE,PRESSURE_RESTRICTION_IND_YES,0.008652123
36,MOP_PSIG,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",0.008411184
146,SYSTEM_PART_INVOLVED_ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,EXPLODE_IND_YES,-0.008374212
124,"SYSTEM_PART_INVOLVED_ONSHORE PIPELINE, INCLUDING VALVE SITES",SCADA_IN_PLACE_IND_YES,0.008279825
134,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,REMEDIATION_IND_YES,0.00826742
98,CAUSE_MATERIAL FAILURE OF PIPE OR WELD,REMEDIATION_IND_YES,-0.007609868
15,NUM_PUB_EVACUATED,CAUSE_INCORRECT OPERATION,0.007586099
64,COMMODITY_RELEASED_TYPE_REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,CAUSE_EQUIPMENT FAILURE,0.007551545
155,RELEASE_TYPE_OTHER,IGNITE_IND_YES,-0.007318319
10,PRPTY,CAUSE_EQUIPMENT FAILURE,0.00726609
183,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",CPM_IN_PLACE_IND_YES,-0.007264718
63,COMMODITY_RELEASED_TYPE_HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,CPM_IN_PLACE_IND_YES,-0.007251471
8,PRPTY,COMMODITY_RELEASED_TYPE_HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.007113399
151,WATER_CONTAM_IND_YES,MATERIAL_INVOLVED_MATERIAL OTHER THAN CARBON STEEL,0.006819083
12,PRPTY,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,0.006656422
70,COMMODITY_RELEASED_TYPE_REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,PRESSURE_RESTRICTION_IND_YES,0.006481421
115,CAUSE_OTHER ACCIDENT CAUSE,INCIDENT_AREA_TYPE_UNDERGROUND,-0.006465663
58,COMMODITY_RELEASED_TYPE_HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,SYSTEM_PART_INVOLVED_ONSHORE EQUIPMENT AND PIPING ASSOCIATED WITH BELOWGROUND STORAGE,0.005719375
175,IGNITE_IND_YES,REMEDIATION_IND_YES,0.005536756
147,COULD_BE_HCA_YES,RELEASE_TYPE_RUPTURE,0.005427065
169,RELEASE_TYPE_RUPTURE,FEDERAL_YES,-0.004872337
152,WATER_CONTAM_IND_YES,CROSSING_YES,0.004734345
18,NUM_PUB_EVACUATED,PRESSURE_RESTRICTION_IND_YES,-0.00445909
84,CAUSE_EQUIPMENT FAILURE,INCIDENT_AREA_TYPE_TRANSITION AREA,0.004229301
187,INCIDENT_AREA_TYPE_TRANSITION AREA,MATERIAL_INVOLVED_MATERIAL OTHER THAN CARBON STEEL,0.004229301
72,COMMODITY_RELEASED_TYPE_REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,REMEDIATION_IND_YES,0.004142052
178,COMMODITY_REACHED_HCA_YES,EXPLODE_IND_YES,0.004128443
137,SYSTEM_PART_INVOLVED_ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,RELEASE_TYPE_MECHANICAL PUNCTURE,-0.003784413
100,CAUSE_NATURAL FORCE DAMAGE,"SYSTEM_PART_INVOLVED_ONSHORE PIPELINE, INCLUDING VALVE SITES",0.003670626
127,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,RELEASE_TYPE_MECHANICAL PUNCTURE,0.003618837
157,RELEASE_TYPE_OTHER,INCIDENT_AREA_TYPE_TRANSITION AREA,0.003485676
105,CAUSE_NATURAL FORCE DAMAGE,INCIDENT_AREA_TYPE_TRANSITION AREA,0.003485676
95,CAUSE_MATERIAL FAILURE OF PIPE OR WELD,SYSTEM_PART_INVOLVED_ONSHORE EQUIPMENT AND PIPING ASSOCIATED WITH BELOWGROUND STORAGE,-0.003413168
62,COMMODITY_RELEASED_TYPE_HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,PRESSURE_RESTRICTION_IND_YES,-0.003406449
91,CAUSE_INCORRECT OPERATION,RELEASE_TYPE_RUPTURE,0.003297683
126,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,COULD_BE_HCA_YES,0.003060962
176,IGNITE_IND_YES,LONG_TERM_ASSESSMENT_YES,0.002962291
87,CAUSE_EXCAVATION DAMAGE,RELEASE_TYPE_OVERFILL OR OVERFLOW,0.002950117
51,COMMODITY_RELEASED_TYPE_CRUDE OIL,CAUSE_OTHER OUTSIDE FORCE DAMAGE,0.002938948
172,IGNITE_IND_YES,LOCATION_TYPE_PIPELINE RIGHT-OF-WAY,0.00290469
75,PIPE_FACILITY_TYPE_INTRASTATE,CAUSE_MATERIAL FAILURE OF PIPE OR WELD,0.002698959
122,"SYSTEM_PART_INVOLVED_ONSHORE PIPELINE, INCLUDING VALVE SITES",FATALITY_IND_YES,0.002322208
26,ACCIDENT_PSIG,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",0.002025385
65,COMMODITY_RELEASED_TYPE_REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,CAUSE_EXCAVATION DAMAGE,-0.0019133
173,IGNITE_IND_YES,INCIDENT_AREA_TYPE_UNDERGROUND,-0.001866254
194,REMEDIATION_IND_YES,LONG_TERM_ASSESSMENT_YES,0.001798329
120,CAUSE_OTHER OUTSIDE FORCE DAMAGE,REMEDIATION_IND_YES,0.001767057
139,SYSTEM_PART_INVOLVED_ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,RELEASE_TYPE_RUPTURE,0.0017646
179,LOCATION_TYPE_PIPELINE RIGHT-OF-WAY,SOIL_CONTAMINATION_YES,0.001476949
35,MOP_PSIG,COMMODITY_REACHED_HCA_YES,0.001464117
4,UNINTENTIONAL_RELEASE_BBLS,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",-0.001347707
166,RELEASE_TYPE_OVERFILL OR OVERFLOW,WILDLIFE_IMPACT_IND_YES,0.001058398
92,CAUSE_INCORRECT OPERATION,IGNITE_IND_YES,-0.000799391
31,MOP_PSIG,INJURY_IND_YES,0.000275489
